Record Number,Artist Name,Album Type,Album/Single Name,Total Tracks,Release Date,Genre,Album Popularity,Album Label
21,Elley Duhé,album,PHOENIX,16,2023-10-27,alt z,45,"Not Fit For Society, Inc."
22,Chayanne,album,Bailemos Otra Vez,9,2023-10-27,"latin pop, puerto rican pop",49,Sony Music Latin
23,310babii,single,Walk,1,2023-10-27,,34,sal•vo sounds / 310babii
24,ILLENIUM,single,Zombie (feat. Valerie Broussard),1,2023-10-27,"edm, melodic dubstep, pop dance",50,Warner Records
25,ERNEST,single,Kiss Of Death,1,2023-10-27,modern country pop,42,Big Loud Records
26,SEVENTEEN,album,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',8,2023-10-23,"k-pop, k-pop boy group",76,PLEDIS Entertainment
27,Yaeger,single,Jaguar,6,2023-10-27,,42,Sony Music Local
28,Yebba,single,Waterfall (I Adore You),2,2023-10-25,pop soul,44,RCA Records Label
29,Flatland Cavalry,album,Wandering Star,13,2023-10-27,"classic texas country, red dirt",50,Interscope Records
30,Baby Tate,single,Baby Tate Presents - Sexploration: The Musical,5,2023-10-27,trap queen,37,Warner Records
31,Josiah and the Bonnevilles,album,Endurance,13,2023-10-25,"modern folk rock, stomp and holler",49,Josiah and the Bonnevilles
32,BabyTron,album,MegaTron 2,28,2023-10-27,"detroit hip hop, scam rap",61,The Hip Hop Lab Records / EMPIRE
33,Black Pumas,album,Chronicles of a Diamond,10,2023-10-27,retro soul,27,ATO Records / Fontana North
34,Poppy,album,Zig,11,2023-10-27,alt z,50,Sumerian Records
35,Magnolia Park,album,Halloween Mixtape II,17,2023-10-27,pop punk,46,Epitaph
36,Dylan Marlowe,single,Boys Back Home,1,2023-10-27,modern country pop,49,Sony Music Nashville
37,Azealia Banks,single,DILEMMA,1,2023-10-27,"escape room, hip house, lgbtq+ hip hop, trap queen",42,Azealia Banks
38,Thomas Day,album,Love Me For Another Day,10,2023-10-27,"gen z singer-songwriter, singer-songwriter pop",43,Arista Records
39,The Kills,album,God Games,12,2023-10-27,"alternative dance, dance-punk, garage rock, garage rock revival, indie rock, indietronica, modern blues rock, modern rock, new rave",45,Domino Recording Co
40,Angie McMahon,album,"Light, Dark, Light Again",13,2023-10-27,australian indie,46,Gracie Music
41,Carter Faith,single,Man,4,2023-10-27,"country pop, modern country pop",39,Suburban Heartbreak Records
42,blink-182,album,ONE MORE TIME...,17,2023-10-20,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",80,Columbia
43,The Rolling Stones,album,Hackney Diamonds,12,2023-10-20,"album rock, british invasion, classic rock, rock",76,Polydor Records
44,Fuerza Regida,album,Pa las Baby's Y Belikeada,30,2023-10-20,"corrido, corridos tumbados, sad sierreno, sierreno",83,Rancho Humilde/Street Mob Records
45,Charli XCX,single,In The City,1,2023-10-19,"art pop, candy pop, metropopolis, pop, uk pop",65,Atlantic Records
46,The Kid LAROI,single,TOO MUCH,1,2023-10-19,australian hip hop,78,Columbia
47,beabadoobee,single,A Night To Remember,1,2023-10-20,"bedroom pop, bubblegrunge, indie pop, pov: indie",68,Beabadoobee/Laufey
