Track ID,Track Name,Artist Name,Album Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Tempo,Time Signature,Valence
0gsBQy8Q0eWlR67xDmoWFw,So This Is Love,Emile Pandolfi,So This Is Love,59,0.975,0.279,172187,0.234,0.871,163.883,1,0.24
0gwNGHcBRYtF7mvgUczVo1,Return to Oz - ARTBAT Remix,Monolink,Return to Oz (ARTBAT Remix),64,0.563,0.854,480000,0.93,0.697,123.998,4,0.192
0GWNtMohuYUEHVZ40tcnHF,SPECIALZ,King Gnu,SPECIALZ,85,0.0663,0.566,238987,0.85,0,117.048,4,0.722
0HaRLPnr887lcQM2YQzkff,For My Hand (feat. Ed Sheeran),Burna Boy,"Love, Damini",78,0.161,0.87,159124,0.479,0.000157,104.059,4,0.717
0hveAq1VSNWo9MQYGMHvFF,I'm So Lonesome I Could Cry,Hank Williams,Moanin' The Blues (Expanded Edition),56,0.874,0.678,168773,0.218,0.000697,110.964,3,0.652
0Ie5uiv54KgCr7P4sYDTHl,Baby It's Cold Outside (with Michael Bublé),Idina Menzel,Holiday Wishes,72,0.647,0.553,166147,0.476,0,113.401,3,0.558
0INUE1K7cEiE8VH63Rv5RJ,Happy?,Mudvayne,Lost and Found,73,0.000823,0.546,216427,0.97,0.0000208,100.065,4,0.383
0ITaSRuI0L1RNL7ZNYTTi7,U Are My High (with Future),DJ Snake,U Are My High (with Future),79,0.0867,0.602,211200,0.824,0,125.147,4,0.442
0J3GWS0Bv6I1reM1J69UBM,就让这大雨全都落下,Joey Yung,就让这大雨全都落下,64,0.456,0.521,254118,0.61,0,136.001,4,0.399
0JgzQQ1rNUVE5GCIqCnlxE,Amputee,Agoraphobic Nosebleed,Bestial Machinery,42,2.26E-06,0,70880,0.944,0.762,0,0,0
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",80,0.00725,0.459,182827,0.895,0,181.04,4,0.572
0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,Songs from the Arc of Life,72,0.986,0.169,174267,0.0161,0.86,128.143,3,0.0573
